Lat,Lon,Diam,RBA
61.0386,188.026,13.5213,-0.781645582166036
60.989,185.595,13.0119,3.0204271362848
60.8108,183.046,27.2383,3.97626961416238
61.2535,178.486,20.4314,2.50346000461748
60.942,176.478,10.5378,3.98647778433546
61.894,180.175,14.0578,2.383451151116
61.5267,173.07,14.2656,-2.64038489570614
60.8844,165.81,17.3539,4.86216986374885
61.2513,166.653,12.0913,5.33457287618248
60.5429,160.113,10.7721,-3.35426958526789
61.0881,161.596,11.7217,-0.145483538937746
61.1596,157.334,18.6929,0.226996524674806
60.9464,163.512,11.0896,8.30403564695226
61.5794,165.132,11.8502,1.55357852825678
61.4953,168.617,11.6309,0.0382776711292436
63.3086,171.441,11.5848,0.649463586411653
62.8265,177.193,14.5861,-0.190331595546846
63.3087,179.725,14.2857,8.68249658990457
63.1586,184.163,23.9923,-6.84659301528157
62.9907,188.895,19.1243,24.6357862181971
61.9458,189.465,11.5765,2.40838783013638
62.5659,190.594,10.6494,3.65742869490006
62.2349,192.972,16.1007,3.10794204322111
62.035,197.077,22.691,21.6642191808487
61.7687,198.048,26.9385,9.72423772377762
60.5461,201.538,14.1778,32.0659082165992
60.224,202.778,14.348,7.43787870164952
62.0534,199.194,10.1182,-7.58651226864596
62.692,196.63,10.2426,1.9910615457157
63.0131,194.513,12.7017,5.94101330385565
63.6221,194.157,11.5742,4.86339942771333
64.245,183.514,13.2911,3.74681784529938
63.0117,181.065,18.1349,-8.26470001373821
63.2202,181.541,24.8518,-12.6379306160473
63.5505,179.886,10.3823,-0.501553605588263
64.4658,180.671,14.4263,8.44951025822979
64.5669,175.392,14.4478,-3.07561491695166
64.384,172.527,16.4755,8.56831964412804
63.8351,170.128,17.7949,8.88913120821083
63.2432,165.139,14.1779,1.22146506149436
62.9436,164.297,19.4175,-4.0203336272736
62.6793,162.439,11.4943,-2.34912057541385
62.9494,162.779,17.1482,-0.25243031898718
62.5341,161.565,10.904,1.63132595908313
61.0049,156.089,12.039,7.36255035892799
61.5893,152.323,17.6015,4.65745055537927
60.4106,152.346,13.6952,9.80055085620745
60.6651,148.845,11.8793,2.14089498395595
60.3017,149.602,28.243,-15.1121893101869
60.8359,149.209,11.8373,0.638502481206782
62.0931,151.096,10.7144,4.14415550000946
61.0747,149.711,14.6535,-2.89187475458905
