Lat,Lon,Diam,RBA
61.0386,188.026,13.5213,-0.401460651597236
60.989,185.595,13.0119,3.68469070582487
60.8108,183.046,27.2383,5.52912746799061
61.2535,178.486,20.4314,3.76374547786216
60.942,176.478,10.5378,4.37514617741706
61.894,180.175,14.0578,2.16610866886525
61.5267,173.07,14.2656,-2.21746492898694
60.8844,165.81,17.3539,4.9181699607028
61.2513,166.653,12.0913,5.45182203846739
60.5429,160.113,10.7721,-3.76885056620824
61.0881,161.596,11.7217,0.129469284263834
61.1596,157.334,18.6929,2.42397962082422
60.9464,163.512,11.0896,8.41767094170288
61.5794,165.132,11.8502,2.60635863549468
61.4953,168.617,11.6309,0.17133910352706
63.3086,171.441,11.5848,1.4634379012658
62.8265,177.193,14.5861,0.402606081071928
63.3087,179.725,14.2857,9.47598912202935
63.1586,184.163,23.9923,-5.87774851966957
62.9907,188.895,19.1243,26.7861669682604
61.9458,189.465,11.5765,2.60256347461287
62.5659,190.594,10.6494,4.01782039424019
62.2349,192.972,16.1007,3.71495745135677
62.035,197.077,22.691,25.1582443336223
61.7687,198.048,26.9385,12.7316409294552
60.5461,201.538,14.1778,35.1509486350301
60.224,202.778,14.348,8.58024303106751
62.0534,199.194,10.1182,-8.078285216182
62.692,196.63,10.2426,2.11479586804347
63.0131,194.513,12.7017,6.12796211013237
63.6221,194.157,11.5742,5.35491672133358
64.245,183.514,13.2911,4.44701521935791
63.0117,181.065,18.1349,-6.63562937335971
63.2202,181.541,24.8518,-10.4445506841794
63.5505,179.886,10.3823,-0.199975568734477
64.4658,180.671,14.4263,9.50670548822466
64.5669,175.392,14.4478,-2.2968399268135
64.384,172.527,16.4755,10.1030168783328
63.8351,170.128,17.7949,10.3023050007594
63.2432,165.139,14.1779,1.28415485480928
62.9436,164.297,19.4175,-3.59973878785915
62.6793,162.439,11.4943,-1.69789959247591
62.9494,162.779,17.1482,0.940044401431059
62.5341,161.565,10.904,2.07432499515597
61.0049,156.089,12.039,8.10863522813652
61.5893,152.323,17.6015,5.67047279121587
60.4106,152.346,13.6952,10.5832516437493
60.6651,148.845,11.8793,2.55464045475793
60.3017,149.602,28.243,-13.1978997085674
60.8359,149.209,11.8373,0.860036848731019
62.0931,151.096,10.7144,4.68864647418045
61.0747,149.711,14.6535,-2.1274936005021
61.3245,150.33,13.0378,1.21848988058794
63.1666,158.291,11.438,0.317768366226803
63.4366,158.451,18.8588,3.5465625824812
64.2986,158.376,16.5877,3.83092865359191
63.758,157.913,10.7339,-1.77380841696047
63.7112,161.265,15.6264,-2.73395982492189
65.0295,172.819,10.0828,5.60268709536091
65.937,173.529,17.0807,-3.14715077336646
65.8326,178.536,22.5347,-3.31626975081959
65.0896,179.67,14.6638,1.31863400004617
65.3442,180.676,11.4185,-2.56894614718507
62.8503,201.023,13.5313,9.18940676764907
60.9582,214.123,28.5488,-7.21649619959571
65.0554,214.836,21.2384,0.692171012322703
61.1215,218.993,29.6124,-8.79324477493216
62.5759,212.255,10.5403,1.47592641469699
64.894,201.822,10.5053,-0.12195222598681
65.4756,199.948,10.5683,1.42712245870815
65.3916,201.386,10.9386,4.01598669532789
66.4463,180.181,14.7835,-1.73823780868534
66.3163,175.651,17.8985,8.60423107545601
66.7283,174.405,14.8846,2.36326090295729
66.4621,173,21.7431,-3.86397988574478
65.926,167.575,19.1679,4.54058661591036
65.3015,162.178,27.9307,5.43603514313934
62.988,151.831,24.0399,-1.0952575406491
61.448,146.097,21.9057,-2.79404571171132
61.0811,140.373,11.7911,8.34287276221428
63.0046,145.307,14.6475,-0.0600113295005862
63.3496,145.446,15.3109,2.32402092996749
64.5026,149.487,18.2225,0.404878117441257
64.294,147.426,23.8765,1.96717023685579
65.0464,150.713,22.943,6.37526061894244
64.9799,152.157,18.7267,-1.83754632566317
65.1001,153.324,11.8095,3.29546516436826
66.0028,158.063,17.3225,-1.54403165143873
66.8722,161.809,11.9159,1.62508295587777
66.7037,162.721,17.9099,9.62117087655628
67.4074,171.04,14.3155,0.360294826463274
67.4949,175.965,18.2655,-6.8638006615901
68.3802,177.648,18.4872,7.04628869900385
67.7077,178.777,11.3525,7.76551097245373
67.2795,181.774,12.3794,-0.731954909134334
67.5231,183.074,14.8231,4.42998340794133
67.2973,186.615,13.3812,4.53287392617752
67.5512,188.373,10.592,1.42295455431038
64.0322,209.631,17.5433,8.09749483596571
60.8983,222.186,11.5045,10.65201518388
63.927,215.222,11.3545,-0.532613952226114
65.4282,209.244,10.4392,3.09496133700574
68.0741,196.449,11.5667,1.76529474410336
68.4933,192.948,10.1557,6.21706175390223
68.9879,194.741,18.6226,10.3833001024994
68.4459,190.583,15.5428,2.31640084211829
68.9501,189.968,18.6087,7.53477022892297
69.1823,169.558,11.7037,-0.055445886780717
68.365,167.226,24.3274,10.9003222355899
67.4663,160.29,19.0312,-0.21973637717349
66.9543,156.721,13.4721,-3.47494763934349
66.4447,154.238,15.6623,6.02366891106782
65.6057,149.914,13.6071,4.30214173893566
66.2797,148.848,25.0499,2.41080673550642
65.078,145.205,17.5228,-1.71964518361258
62.5256,139.501,12.7166,0.0634101335303967
62.1152,139.491,14.2505,2.23822087264113
63.8418,140.209,14.8385,8.05040139300117
61.581,138.068,14.5246,-0.128190441832295
61.198,132.003,12.9535,-1.97710006671703
62.1549,132.093,15.3687,10.6015072675668
63.7349,136.593,21.5012,-4.14215742582442
67.0996,148.22,28.7609,4.84754054163184
67.4497,152.23,10.9978,2.90693872889117
70.2112,163.775,16.9994,-1.31057206560995
69.8035,169.9,12.3635,1.25577115127884
70.0836,176.849,12.2584,9.94383659047346
70.9663,176.06,26.0893,-3.04545895236343
71.0569,172.753,23.9478,3.7155390828208
70.1593,186.71,17.1068,1.3838923476664
