id,lat,lon,dia,diasd,mare,insSPA
01-1-000159,68.9501,189.968,18.6087,0.273682,0,0
01-1-000162,69.1823,169.558,11.7037,0.214123,0,0
01-1-000163,68.365,167.226,24.3274,0.429862,0,0
01-1-000164,67.4663,160.29,19.0312,0.462827,0,0
01-1-000167,66.9543,156.721,13.4721,0.61612,0,0
01-1-000168,66.4447,154.238,15.6623,0.319139,0,0
01-1-000169,65.6057,149.914,13.6071,0.288296,0,0
01-1-000170,66.2797,148.848,25.0499,0.50534,0,0
01-1-000171,65.078,145.205,17.5228,0.172996,0,0
01-1-000172,62.5256,139.501,12.7166,0.551776,0,0
01-1-000173,62.1152,139.491,14.2505,0.435896,0,0
01-1-000174,63.8418,140.209,14.8385,0.443917,0,0
01-1-000175,61.581,138.068,14.5246,0.466337,0,0
01-1-000176,61.198,132.003,12.9535,0.327675,0,0
01-1-000177,62.1549,132.093,15.3687,0.107069,0,0
01-1-000178,63.7349,136.593,21.5012,0.674963,0,0
01-1-000179,67.0996,148.22,28.7609,1.08196,0,0
01-1-000180,67.4497,152.23,10.9978,0.137326,0,0
01-1-000182,70.2112,163.775,16.9994,0.552977,0,0
01-1-000183,69.8035,169.9,12.3635,0.510848,0,0
01-1-000184,70.0836,176.849,12.2584,0.151084,0,0
01-1-000185,70.9663,176.06,26.0893,0.801288,0,0
01-1-000186,71.0569,172.753,23.9478,0.833426,0,0
01-1-000187,70.1593,186.71,17.1068,0.243081,0,0
01-1-000188,71.8679,183.871,23.9308,0.648745,0,0
01-1-000189,72.0732,186.336,20.2802,0.929361,0,0
01-1-000191,70.0517,193.394,26.1729,0.616434,0,0
01-1-000192,69.3409,194.749,19.676,0.293159,0,0
01-1-000193,70.0841,195.37,13.4593,0.430399,0,0
01-1-000194,70.13,196.138,10.7417,0.290079,0,0
01-1-000195,68.2837,209.596,14.6844,0.333492,0,0
01-1-000196,66.4176,211.754,13.2894,0.224453,0,0
01-1-000197,65.1989,219.046,10.4196,0.178633,0,0
01-1-000198,60.6891,230.375,11.9522,0.120926,0,0
01-1-000199,60.9806,230.656,10.2113,0.250135,0,0
01-1-000204,62.7718,229.624,14.4556,0.413689,0,0
01-1-000205,68.8348,212.889,10.2152,0.158486,0,0
